liefnr,majesty_name,majesty_name_norm,ifas_nummer,ifas_name,match_method,match_score,auto_accepted,wbz
71040,A.D.R S.p.A,a d r s p a,002046,A.D.R. S.p.a.,exact_norm,1.0,1,
71025,Agirossi GmbH,agirossi,001906,AGIROSSI GmbH,exact_norm,1.0,1,
71043,AGRO AG,agro,001147,Agro AG,exact_norm,1.0,1,
71047,AIS Batterien GmbH,ais batterien,001148,AIS Batterien GmbH,exact_norm,1.0,1,
71003,Allega GmbH,allega,001145,Allega GmbH,exact_norm,1.0,1,21
71029,Allenspach Bernhard,allenspach bernhard,002074,Allenspach Bernhard Anhänger und Gewässerunterhalt,candidate,0.99,1,
71006,BWB Aloxyd AG,bwb aloxyd,001112,BWB-Aloxyd AG,exact_norm,1.0,1,14
71007,AML AG,aml,001408,aml AG Langenthal,candidate,0.99,1,21
71049,Amsler & Frey AG,amsler und frey,002058,Amsler & Frey AG,exact_norm,1.0,1,
71010,Amstutz Produkte AG,amstutz produkte,001109,Amstutz Produkte AG,exact_norm,1.0,1,
71012,Aseol Suisse AG,aseol suisse,001366,Aseol Suisse AG,exact_norm,1.0,1,
71013,ATB Systeme AG,atb systeme,001052,ATB Systeme AG,exact_norm,1.0,1,21
71017,AVAG Betriebs AG,avag betriebs,001104,AVAG Betriebs AG,exact_norm,1.0,1,
72076,BACHMANN SOUSA,bachmann sousa,001976,"BACHMANN SOUSA, LDA",candidate,0.99,1,28
72035,Balluff Sensortechnik AG,balluff sensortechnik,001359,Balluff AG,candidate,0.99,1,21,
72001,Balz Maschinen AG,balz maschinen,001283,Balz Maschinen AG,exact_norm,1.0,1,
72002,Baumer Electric AG,baumer electric,001056,Baumer Electric AG,exact_norm,1.0,1,21,
72025,Baumgartner Maschinenbau AG,baumgartner maschinenbau,001872,Baumgartner Maschinen,candidate,0.99,1,
72004,H.U. Beer GmbH,h u beer,001380,H.U. Beer GmbH,exact_norm,1.0,1,21
72006,BIBUS AG,bibus,001372,BIBUS AG,exact_norm,1.0,1,
72024,Bieri Tenta AG,bieri tenta,001113,Bieri Tenta AG,exact_norm,1.0,1,28
72032,Bio-Circle Surface Technology AG,bio circle surface technology,001367,Bio-Circle Surface Technology AG,exact_norm,1.0,1,
72046,Birrer Hydraulik AG,birrer hydraulik,001963,Birrer Hydraulik AG,exact_norm,1.0,1,
72070,Bletag AG,bletag,001150,Bletag AG,exact_norm,1.0,1,21
72009,Blickle Räder + Rollen GmbH,blickle rader rollen,001346,Blickle Räder + Rollen GmbH,exact_norm,1.0,1,14,
72069,B+M Haus- und Agrotech AG,b m haus und agrotech,001149,B + M Haus- und Agrotech AG,exact_norm,1.0,1,
72058,Bohnenkamp Suisse AG,bohnenkamp suisse,001151,Bohnenkamp Suisse AG,exact_norm,1.0,1,
72072,Bossard AG,bossard,001152,Bossard AG,exact_norm,1.0,1,14,
72015,BRUNOX AG,brunox,001637,BRUNOX AG,exact_norm,1.0,1,
72017,Brütsch/Rüegger Werkzeuge AG,brutsch ruegger werkzeuge,001071,Brütsch/Rüegger Werkzeuge AG,exact_norm,1.0,1,
72064,Brütsch Rüegger Werkzeuge AG,brutsch ruegger werkzeuge,001071,Brütsch/Rüegger Werkzeuge AG,exact_norm,1.0,1,
72045,Busland AG,busland,001069,Busland AG,exact_norm,1.0,1,
72020,BW AG,bw,001684,BW AG,exact_norm,1.0,1,
73001,Carbagas,carbagas,001004,CARBAGAS AG,exact_norm,1.0,1,
73017,Carbagas AG,carbagas,001004,CARBAGAS AG,exact_norm,1.0,1,
73025,Glas Trösch AG,glas trosch,001163,Glas Trösch AG,exact_norm,1.0,1,
73002,Caron Fahrzeugtechnik AG,caron fahrzeugtechnik,000955,Caron Fahrzeugtechnik AG,exact_norm,1.0,1,14
