Markenname;Werkstoff;EN ;US Grades;AFNOR;Bemerkung;Produktgruppe;Daten
St37-2;1.0037;S235;1013;E24-2;J0/JR/J2 -/+N/+AR;Maschinenbaustahl;
St52-3;1.0045;S355;70;E36-2;J0/JR/J2 -/+N/+AR;Maschinenbaustahl;
;1.0330;DC01;DS Type A;;;Maschinenbaustahl;
;1.0338;DC04;DS Type B;;;Maschinenbaustahl;
;1.0347;DC03;Temper No.4;;;Maschinenbaustahl;
;1.0401;C15;1015;;;Maschinenbaustahl;
;1.0402;C22;1020;AF 42;;Maschinenbaustahl;
;1.0425;P265GH;60;A 42 CP;;Maschinenbaustahl;
;1.0487;P775NH ;60;P775NH;;Maschinenbaustahl;
;1.0488;P275NL1;60;P275NL1;;Maschinenbaustahl;
;1.0501;C35;1035;AF 55;;Maschinenbaustahl;
;1.0503;C45;1045;AF 65;;Maschinenbaustahl;
;1.0546;S355NL;LF2;E 355;NL1/NL2/NL0;Maschinenbaustahl;
;1.0556;10268;;;;Maschinenbaustahl;
;1.0565;P355NH;1A;A 510 AP;;Maschinenbaustahl;
St 52-3;1.0570;S355J2;1524;;J0/JR/J2 -/+N/+AR;Maschinenbaustahl;
;1.0601;C60;1060;;;Maschinenbaustahl;
;1.0976;S355MC;;E 355 D;;Maschinenbaustahl;
;1.1141;C15E;1015;XC 48 H 1;;Maschinenbaustahl;
;1.1191;C45E;1045;XC 48 H 1 u;;Maschinenbaustahl;
;1.1201;C45R;1045;;;Maschinenbaustahl;
;1.1204;C55S;1055;;;Maschinenbaustahl;
;1.1211;C60S;1060;;;Maschinenbaustahl;
;1.1213;Cf53N;1050;;;Maschinenbaustahl;
;1.1217;C90S;1086;;;Maschinenbaustahl;
;1.1221;C60E;1060;XC 60;;Maschinenbaustahl;
;1.1223;C60R;1060;;;Maschinenbaustahl;
;1.1224;C125S;;;;Maschinenbaustahl;
;1.1242;C72D2;1069;;;Maschinenbaustahl;
;1.1248;C75S;1074;XC 75;;Maschinenbaustahl;
;1.1274;C100S;1095;;;Maschinenbaustahl;
;1.1730;C45U/C45W;1045;C42E4U;;Werkzeugstahl;
;1.2067;102Cr6;L3;Y 100 C 6;;Werkzeugstahl;
;1.2080;X210Cr12;D3;Z 200 C 12;;Werkzeugstahl;
;1.2083;X40Cr14;420;Z 40 C 14;auch ESU;Werkzeugstahl;
;1.2085;X33CrS16;;;+QT;Werkzeugstahl;
;1.2101;62SiMnCr4;;;;Werkzeugstahl;
;1.2103;58SiCr8;S4;;;Werkzeugstahl;
;1.2162;21MnCr5;;;;Werkzeugstahl;
;1.2210;115CrV3;;;;Werkzeugstahl;
;1.2235;80CrV2;L2;;;Werkzeugstahl;
;1.2241;51CrV4;6150;50 CV 4;;Werkzeugstahl;
;1.2242;59CrV4;;;;Werkzeugstahl;
;1.2243;61CrSiV5;;;;Werkzeugstahl;
;1.2249;45SiCrV6;;;;Werkzeugstahl;
;1.2302;35CrMo7;P20;;;Werkzeugstahl;
;1.2311;40CrMnMo7;P20;40 CMD 8;+QT;Werkzeugstahl;
;1.2312;40CrMnMoS8-6;P20+S;40 CMD 8 +S;+QT;Werkzeugstahl;
;1.2316;X38CrMo16;420F;;+QT / auch ESU;Werkzeugstahl;
;1.2328;45CrMoV7;P20;;;Werkzeugstahl;
;1.2329;46CrSiMoV7;;;;Werkzeugstahl;
;1.2341;X6CrMo4;P4;;;Werkzeugstahl;
;1.2343;X37CrMoV5-1;H11;Z 38 CDV 5;auch ESU / EFS;Werkzeugstahl;
