stulinr;posnr;menge;artnr;artbez1
61.02.0100;10;1;61.02.0298;KZW10 Grundmaschine
61.02.0298;10;1;10.10.0092;6-kt-Schrauben
61.02.0298;20;2;10.10.01657;6-kt-Schrauben
61.02.0298;30;1;10.10.01391;U-Scheibe
61.02.0298;40;1;10.10.01294;U-Scheiben
61.02.0298;50;2;10.10.01988;6-kt-Muttern
61.02.0298;60;16;10.50.0014;Blindnietmutter Multigrip BCT
61.02.0298;70;4;60.17.1007;Schäkel, Seil-Ø 21 mm, 1/2"
61.02.0298;80;1;12.31.0008;Manometer NG 63, 0-250bar
61.02.0298;90;1;10.43.0023;Steckbolzen mit Axialsicherung, inox
61.02.0298;100;2;10.30.0006;Rastbolzen M12 x 1.5
61.02.0298;120;1;10.70.0001;Handgriff Ø26x107
61.02.0298;130;1BLOCKED;12.41.0105;Starter-Batterie 12V
61.02.0298;140;1;61.02.0188;Kettenschutz unten
61.02.0188;10;1;61.02.0188-L;Kettenschutz unten
61.02.0298;160;2;61.02.0024;Exzenter
61.02.0298;170;2;61.02.0035;Distanzscheibe Rastbolzen
61.02.0298;180;1;61.02.0185;Batteriebefestigung
61.02.0298;190;1;61.02.0186;Batterieunterlage
61.02.0298;200;1;61.02.0187;Kettenschutz
61.02.0187;10;1;61.02.0187-L;Kettenschutz
61.02.0298;210;1;61.02.0205;Pumpenabdeckung
61.02.0205;10;1;61.02.0205-L;Pumpenabdeckung
61.02.0298;220;1;61.02.0204;Auflage Bedienpult
61.02.0204;10;1;61.02.0204-L;Auflage Bedienpult
61.02.0298;230;1;61.02.0181;Traverse PMC14S
61.02.0181;10;1;61.02.0181-L;Traverse PMC14S
61.02.0298;240;1;61.02.0101;Baugrp Chassis
61.02.0101;20;1;61.02.0103;Seitenteil l
61.02.0101;30;1;61.02.0104;Seitenteil ul
61.02.0101;40;1;61.02.0105;Seitenteil lII
61.02.0101;50;1;61.02.0106;Seitenteil ur
61.02.0101;60;1;61.02.0107;Querrohr vorne
61.02.0101;80;2;61.02.0108;Achslager
61.02.0101;90;2;61.02.0109;Abschlussblech
61.02.0101;100;1;61.02.0110;Verstärkungsrippe
61.02.0101;110;2;61.02.0111;Stütztplatte
61.02.0101;120;1;61.02.0114;Verstärkungsrippe
61.02.0101;130;1;61.02.0115;Quertraverse vorne
61.02.0101;140;1;61.02.0116;Quertraverse hinten
61.02.0101;150;1;61.02.0117;Querrohr hinten
61.02.0101;160;1;61.02.0118;Gewindehülse 16x40
61.02.0101;170;3;61.02.0119;Gewindehülse M12x40
61.02.0101;180;4;61.02.0120;Gewindehülse M10x40
61.02.0101;190;4;61.02.0121;Verankerungslasche hinten
61.02.0101;200;2;61.02.0122;Stützenführung
61.02.0101;210;1;61.02.0123;Stützenführung vorne
61.02.0101;230;2;61.02.0125;Hebeblechlasche
61.02.0101;10;6;10.50.0015;Blindnietmutter Multigrip BCT
61.02.0101;70;1;61.02.0180;Auflageblech
61.02.0101;5;2;10.50.0014;Blindnietmutter Multigrip BCT
61.02.0101;260;2;61.02.0124;Deichselhalter
61.02.0101;250;1;61.02.0207;Hebelasche
61.02.0207;10;1;40.10.4009;Stahlblech 8mm, 1500x 3000mm
61.02.0101;240;1;61.02.0208;Hebelasche rechts
61.02.0101;270;1;61.02.0299;Hebelasche
61.02.0298;250;2;61.02.0176;Baugrp Rad Ø350
61.02.0176;10;2;10.10.01235;Gewindestift
61.02.0176;20;2;10.30.0138;Stellringe DIN 705 A aus Stahl verzinkt
61.02.0176;30;1;12.14.0012;Rad mit Luftreifen, mit Stahlblech-Felge
61.02.0176;40;1;61.02.0034;Radachse
61.02.0298;260;1;61.02.0259;Baugrp Hydraulikmotor
61.02.0259;10;2;10.10.0046;6-kt-Muttern 0,8 d
61.02.0259;20;3;10.10.0045;6-kt-Muttern 0,8 d
61.02.0259;40;4;10.10.0097;6-kt-Schraube
61.02.0259;50;1;10.10.01406;Gewindestifte mit Ringschneide
61.02.0259;60;2;10.10.0741;SK-Schrauben I-6-kt
61.02.0259;70;1;10.10.01446;Sicherungsringe für Wellen
61.02.0259;80;2;10.10.0944;U-Scheiben
61.02.0259;110;1;10.30.0057;Kettenradsatz zweifach, z=15
61.02.0259;130;1;61.02.0030;Umlenkachse
61.02.0259;140;1;61.02.0058;Kettenrad
61.02.0058;10;1;10.30.0076;Kettenrad zweifach Z19
61.02.0259;150;1;61.02.0241;Baugrp Konsole Hydraulikmotor
61.02.0241;10;1;61.02.0237;Grundplatte Hydraulikmotor
61.02.0241;20;1;61.02.0239;Aufnahmeplatte
61.02.0241;30;2;61.02.0238;Spickel
61.02.0241;40;1;61.02.0240;Spannkörper
61.02.0259;100;4;10.10.1044;U-Scheibe ohne Fase
61.02.0259;120;1;12.96.0002;Torqmotor TE0195
61.02.0259;30;2;10.10.0102;6-kt-Schrauben
61.02.0259;90;2;10.10.0943;U-Scheiben
61.02.0298;270;1;61.02.0277;Baugrp Zugeinheit ohne Spill
61.02.0277;10;1;10.20.0002;Flanschlager
61.02.0277;20;1;10.20.0096;Kugellagerkugel
61.02.0277;30;2;10.10.1043;Kegelkerbstift Ø6x40
61.02.0277;50;2;10.10.0500;Passcheiben
61.02.0277;80;2;10.10.0237;6-kt-Schrauben
61.02.0277;40;2;10.10.01108;Zylinderstifte
61.02.0277;90;1;10.10.03555;Gewindestifte mit Zapfen
61.02.0277;100;1;10.10.03556;Gewindestifte mit Zapfen
61.02.0277;110;4;10.10.01016;ZK-Schrauben I-6-kt.
61.02.0277;120;1;10.10.0512;Passfedern
61.02.0277;130;2;10.10.0637;Sicherungsringe für Bohrungen
61.02.0277;160;8;10.10.0943;U-Scheiben
61.02.0277;170;1;10.39.0007;Normdruckfeder d=1.25, D=6.3, Lo=12mm
61.02.0277;180;2;10.20.0003;Rillenkugellager 6007
61.02.0277;190;1;10.30.0055;Kettenschloss gerade, zweifach
61.02.0277;200;2,5;10.30.0054;Rollenkette-zweifach
61.02.0277;210;1;61.02.0052;Mitnehmerbolzen
61.02.0277;220;1;61.02.0043;Spillwelle
61.02.0277;230;1;61.02.0053;Wellenschutz
61.02.0277;240;1;61.02.0042;Lagerbock
61.02.0277;250;1;61.02.0230;Gegenplatte Lagerbock
61.02.0277;260;1;40.10.7707;Grundplatte Lagerbock
61.02.0277;270;1;61.02.0057;Baugrp Kettenradscheibe
61.02.0277;60;2;10.10.0047;6-kt-Muttern 0,8 d
