artnr;artsuch;artbez1;artbez2;artbez3;vk1;zeichnr;zeichindex;warengru;artgru;rabgru;provgru;charakter;artbezmem;vk2;vk3;vk4;vk5;vk6;vk7;vk8;vk9;peinheit;meinheit;katseite;kennz1;kennz2;kennz3;musternr;dokuartnr;arbplanr;pruefplanr;lagartnr;rabkz;provkz;mwst;gewicht;bruttogew;leg_anteil;mass1;mass2;mass3;veinheit;stahl;werkzeugnr;wzanlage;wzinfo;sollmass1;sollmassa;pruefmitt1;sollmass2;sollmassb;pruefmitt2;sollmass3;sollmassc;pruefmitt3;sollmass4;sollmassd;pruefmitt4;sollmass5;sollmasse;pruefmitt5;signiernr;stempelung;bemmem;bemmem2;bemmem3;bemmem4;bemmem5;bemtext;letzt_zu;letzt_ab;letzt_erh;letzt_ek;letzt_lief;letzt_kalk;mindmengnr;staffkz;abmenge1;dm_proz1;abmenge2;dm_proz2;abmenge3;dm_proz3;abmenge4;dm_proz4;abmenge5;dm_proz5;abmenge6;dm_proz6;abmenge7;dm_proz7;abmenge8;dm_proz8;lagerbest;mehrorte;serien;lagerplatz;dispogru;mindbest;maxbest;losgroesse;wbzeit;leistung;aend_apla;aend_stuli;aend_pruef;sperrkz;auf_art;liefbed;lagertage;warennr;verpackart;versandart;artgru6;mus_hnr;verftage;ekbasis;kunde;zone;sz;kurvensatz;automat;cncprog;stlaenge;schlweite;stgewicht;querschn;durchm_a;durchm_i;geslaenge;abstich_mm;mus_hsuch;mus_lnr;stdpfad;mus_lsuch;kalk_mek;mus_rueck;mus_ausg;rev_pruef;kosttr;kalk_mgk;mus_hdat;etireport;tz;ursprland;lz;kalk_fek;rev_apla;kalk_fgk;rev_stuli;zuschfakt;fixum1;fixum2;preisindiv;sp_bez1;sp_bet1;sp_bez2;sp_bet2;sp_bez3;sp_bet3;sp_bez4;sp_bet4;metallart;mlaenge;mbreite;mstaerke;rahmenart;rlaenge;rbreite;rstaerke;kat1;katseite1;kat2;katseite2;kat3;katseite3;kat4;katseite4;tempart;abmenge9;dm_proz9;abmenge10;dm_proz10;vktext1;vktext2;vktext3;vktext4;vktext5;vktext6;vktext7;vktext8;vktext9;gaufschl;pauschalkz;paucharge;zeichform;empb_druck;sperre;invdatum;mahnkz;sperreart;shopexport;betaufart;bildpfad1;bildpfad2;bildpfad3;bildpfad4;bildpfad5;kostst;kalk_fk;kalk_mk;kalk_aus;bildpfad6;bildpfad7;bildpfad8;bildpfad9;bildpfad10;bildpfad11;bildpfad12;artgru1;artgru2;artgru3;artgru4;artgru5;aktionsvk1;vonaktdat;bisaktdat;kennz4;kennz5;gkvor;letzt_adat;auslagmeng;garantiemo;letztkalib;tagekalib;tsaktivkz;tsgewcls;sktokz;artbez1eng;artbez2eng;eisbest;vktext10;liefabmeng;artnrlief;letzt_ang;neu_user;neu_datum;aend_user;aend_datum;servreport
01;OPTIONSTEXT;Optionen:;;;0;;;;DIV;DIV;DIV;FERT;"Bitte entnehmen Sie die weiteren Angaben sowie Optionen den beiliegenden Unterlagen.

Gerne unterbreiten wir Ihnen auch ein spezifisches Angebot nach Ihren Angaben.";0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;07.09.2010;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;03.03.2026;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;105239;01/002-SRV-CTS-01 # buero1;07.09.2010;01/009-SRV-CTS-01 # Buero2;10.01.2011;
02;ABNAHMEPROTOKOLL;Abnahmeprotokoll;;;967;;;;DIV;DIV;DIV;DIV;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;05.02.2026;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;13.03.2026;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;105257;01/002-SRV-CTS-01 # buero1;13.09.2010;03/003-TILA-RDS01 # lspinnler;05.02.2026;
03;ANLEITUNG MOTOR;Betriebsanleitung Motor;;;0;;;;DIV;DIV;DIV;DIV;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;14.09.2010;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;04.05.2020;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;103402;01/002-SRV-CTS-01 # buero1;14.09.2010;01/009-SRV-CTS-01 # Buero2;10.01.2011;
04;AUFSPANNLEHRE;Aufspannlehre Wenger AG;;;0;;;;DIV;DIV;DIV;DIV;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;  -   -;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;  -   -;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;0;01/004-SRV-CTS-01 # rschuepbach;15.09.2010;01/009-SRV-CTS-01 # Buero2;10.01.2011;
05;ANLEITUNG FUNKFERN;Betriebsanleitung Funkfernsteuerung;;;0;;;;DIV;DIV;DIV;FERT;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;01.12.2010;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;  -   -;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;0;01/002-SRV-CTS-01 # buero1;01.12.2010;01/002-SRV-CTS-01 # buero1;06.05.2011;
06;ANLEITUNG PMC 06;Betriebsanleitung Kabelzugmaschinen-;steuerung PMC 06;;0;;;;DIV;DIV;DIV;FERT;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;01.12.2010;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;25.11.2013;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;101159;01/002-SRV-CTS-01 # buero1;01.12.2010;01/009-SRV-CTS-01 # Buero2;10.01.2011;
07;ANLEITUNG PMC MESSDAT.;Kurzanleitung Messdatenauswertung;Kabelzugmaschinensteuerung PMC 06;;0;;;;DIV;DIV;DIV;FERT;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;01.12.2010;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;25.11.2013;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;101159;01/002-SRV-CTS-01 # buero1;01.12.2010;01/009-SRV-CTS-01 # Buero2;10.01.2011;
08;ANLEITUNG PMC EINSATZ;Kurzanleitung PMC 06 Maschineneinsatz;;;0;;;;DIV;DIV;DIV;FERT;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;01.12.2010;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;25.11.2013;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;101159;01/002-SRV-CTS-01 # buero1;01.12.2010;01/009-SRV-CTS-01 # Buero2;10.01.2011;
09;SOFTWARE PMC 06;Software PMC 06 (USB-Stick);;;0;;;;DIV;DIV;DIV;FERT;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;14.01.2011;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;25.11.2013;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;101159;01/002-SRV-CTS-01 # buero1;14.01.2011;01/002-N7-09 # buero1;11.05.2015;
10;REPARATURANLEITUNG;Reparaturanleitung Hydraulikmotor;;;0;;;;DIV;DIV;DIV;FERT;;0;0;0;0;0;0;0;0;1;Stk.;;;;;;;;;;WAHR;WAHR;WAHR;0;0;0;0;0;0;1;;;1;;;;0;;;0;;;0;;;0;;;0;;;;;;;;;  -   -;  -   -;16.05.2011;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSCH;FALSCH;FALSCH;;;0;0;0;0;0;  -   -;  -   -;  -   -;;0;0;0;0;;;;0;0;1;0;0;0;;;;0;0;0;;0;0;0;0;;0;;;0;  -   -;  -   -;;;0;  -   -;;0;;0;0;;0;;0;0;0;FALSCH;;0;;0;;0;;0;;0;0;0;;0;0;0;;0;;0;;0;;0;FALSCH;0;0;0;0;;;;;;;;;;0;FALSCH;0;;FALSCH;FALSCH;  -   -;M;;WAHR;;;;;;;;0;0;0;;;;;;;;;;;;;0;  -   -;  -   -;;;;  -   -;0;0;  -   -;0;FALSCH;0;WAHR;;;0;;0;;0;01/002-SRV-CTS-01 # buero1;16.05.2011;01/002-SRV-CTS-01 # buero1;16.05.2011;
