stulinr;posnr;artnr;artsuch;variante;prioritaet;teil;aplabezug;menge;abstich;einheit;teil_aus;reststueck;restmm;ausschuss;stahl;htoleranz;bemmem;laenge;breite;anzahl;kostst;beistell;aus_cad;aus_lipl;antamgew;fixmenge;messingbas;freigabe;satzid;aplaid;ubox1;ubox2;ubox3;ubox4;ubox5;utext1;utext2;utext3;utext4;utext5;utext6;utext7;utext8;utext9;utext10;neu_datum;neu_user;aend_datum;aend_user
;10;1 36 0573;???;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383016_3DR14PQR2510850410;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;07.06.2011;01/007-SRV-CTS-01 # cad2;07.06.2011;01/007-SRV-CTS-01 # cad2
;20;10.10.0072;6-KT-SCHRAUBEN;;0;1;0;6;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTP990140536;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;30;10.10.0934;U-SCHEIBEN;;0;1;0;4;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTQ707788918;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;40;10.10.0536;PH-SCHRAUBEN;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTR905826926;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;50;10.10.0808;SPANNHÜLSEN SCHWER;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTS168215580;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;60;10.10.0993;U-SCHEIBEN CARROSSERIE;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTT842938388;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;70;10.10.01212;KETTE Ø2.5;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTU156501085;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;80;61.02.0010;BAUGRP HALTERUNG;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTV938291095;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;90;61.02.0011;ROLLE;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTW207958114;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;100;61.02.0012;ACHSE;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTX763960327;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
